Claim ID,Date of Accident,Date of Claim,Policy Holder ID,Vehicle Make,Vehicle Model,Vehicle Year,Claim Amount,Claim Status
1,2022-05-10,2022-05-15,1001,Toyota,Camry,2018,5000,Approved
2,2022-06-05,2022-06-10,1002,Honda,Accord,2019,3000,Approved
3,2022-07-15,2022-07-20,1003,Hyundai,Sonata,2017,8000,Rejected
4,2022-08-20,2022-08-25,1004,Ford,Escape,2020,4000,Approved
5,2022-09-12,2022-09-15,1005,Toyota,Rav4,2016,2000,Approved
6,2022-10-08,2022-10-10,1006,Honda,Civic,2019,3500,Rejected
7,2022-11-18,2022-11-20,1007,Chevrolet,Malibu,2018,6000,Approved
8,2022-12-25,2022-12-30,1008,Subaru,Forester,2017,4500,Approved
9,2023-01-05,2023-01-10,1009,Toyota,Corolla,2020,5500,Approved
10,2023-02-15,2023-02-20,1010,Honda,CR-V,2019,7000,Rejected
11,2023-03-22,2023-03-25,1011,Hyundai,Elantra,2015,1500,Approved
12,2023-04-10,2023-04-15,1012,Toyota,Highlander,2021,9000,Approved
13,2023-05-05,2023-05-10,1013,Honda,Pilot,2018,6500,Approved
14,2023-06-15,2023-06-20,1014,Subaru,Outback,2016,4000,Rejected
15,2023-07-20,2023-07-25,1015,Ford,Fusion,2019,5500,Approved
16,2023-08-10,2023-08-15,1016,Toyota,Camry,2017,3500,Approved
17,2023-09-12,2023-09-15,1017,Honda,Accord,2020,3000,Rejected
18,2023-10-25,2023-10-30,1018,Hyundai,Sonata,2019,5000,Approved
19,2023-11-18,2023-11-20,1019,Chevrolet,Impala,2018,4000,Approved
20,2023-12-05,2023-12-10,1020,Toyota,Camry,2016,2500,Rejected
21,2024-01-08,2024-01-10,1021,Honda,Civic,2019,3500,Approved
22,2024-02-15,2024-02-20,1022,Ford,Escape,2021,6000,Approved
23,2024-03-20,2024-03-25,1023,Subaru,Forester,2018,4500,Rejected
24,2024-04-10,2024-04-15,1024,Toyota,Rav4,2020,5500,Approved
25,2024-05-12,2024-05-15,1025,Honda,CR-V,2017,7000,Approved
26,2024-06-18,2024-06-20,1026,Hyundai,Elantra,2016,1500,Approved
27,2024-07-25,2024-07-30,1027,Toyota,Highlander,2019,8000,Rejected
28,2024-08-10,2024-08-15,1028,Honda,Pilot,2020,6500,Approved
29,2024-09-10,2024-09-15,1029,Chevrolet,Malibu,2017,4000,Approved
30,2024-10-18,2024-10-20,1030,Subaru,Outback,2018,5500,Rejected
31,2024-11-22,2024-11-25,1031,Ford,Fusion,2019,3500,Approved
32,2024-12-10,2024-12-15,1032,Toyota,Camry,2016,3000,Rejected
33,2025-01-05,2025-01-10,1033,Honda,Accord,2020,5000,Approved
34,2025-02-15,2025-02-20,1034,Hyundai,Sonata,2018,4000,Approved
35,2025-03-25,2025-03-30,1035,Chevrolet,Impala,2017,2500,Rejected
36,2025-04-10,2025-04-15,1036,Toyota,Camry,2019,3500,Approved
37,2025-05-15,2025-05-20,1037,Honda,Civic,2016,6000,Approved
38,2025-06-22,2025-06-25,1038,Ford,Escape,2020,4500,Rejected
39,2025-07-10,2025-07-15,1039,Subaru,Forester,2018,5500,Approved
40,2025-08-12,2025-08-15,1040,Toyota,Rav4,2021,7000,Approved
41,2025-09-18,2025-09-20,1041,Honda,CR-V,2019,1500,Approved
42,2025-10-25,2025-10-30,1042,Hyundai,Elantra,2017,9000,Rejected
43,2025-11-10,2025-11-15,1043,Toyota,Highlander,2016,6500,Approved
44,2025-12-05,2025-12-10,1044,Honda,Pilot,2019,4000,Approved
45,2026-01-08,2026-01-10,1045,Chevrolet,Malibu,2020,5500,Rejected
46,2026-02-15,2026-02-20,1046,Subaru,Outback,2017,3500,Approved
47,2026-03-22,2026-03-25,1047,Ford,Fusion,2018,3000,Rejected
48,2026-04-10,2026-04-15,1048,Toyota,Camry,2020,5000,Approved
49,2026-05-05,2026-05-10,1049,Honda,Accord,2017,4000,Approved
50,2026-06-15,2026-06-20,1050,Hyundai,Sonata,2019,2500,Rejected
51,2026-07-20,2026-07-25,1051,Chevrolet,Impala,2018,3500,Approved
52,2026-08-10,2026-08-15,1052,Toyota,Camry,2016,6000,Approved
53,2026-09-12,2026-09-15,1053,Honda,Civic,2020,4500,Rejected
54,2026-10-25,2026-10-30,1054,Ford,Escape,2018,5500,Approved
55,2026-11-18,2026-11-20,1055,Subaru,Forester,2017,7000,Approved
56,2026-12-05,2026-12-10,1056,Toyota,Rav4,2019,1500,Approved
57,2027-01-08,2027-01-10,1057,Honda,CR-V,2016,9000,Rejected
58,2027-02-15,2027-02-20,1058,Hyundai,Elantra,2020,6500,Approved
59,2027-03-20,2027-03-25,1059,Toyota,Highlander,2018,4000,Approved
60,2027-04-10,2027-04-15,1060,Honda,Pilot,2017,5500,Rejected
61,2027-05-12,2027-05-15,1061,Chevrolet,Malibu,2019,3500,Approved
62,2027-06-18,2027-06-20,1062,Subaru,Outback,2018,3000,Rejected
63,2027-07-25,2027-07-30,1063,Ford,Fusion,2020,5000,Approved
64,2027-08-10,2027-08-15,1064,Toyota,Camry,2017,4000,Approved
65,2027-09-12,2027-09-15,1065,Honda,Accord,2019,2500,Rejected
66,2027-10-25,2027-10-30,1066,Hyundai,Sonata,2018,3500,Approved
67,2027-11-18,2027-11-20,1067,Chevrolet,Impala,2016,6000,Approved
68,2027-12-05,2027-12-10,1068,Toyota,Camry,2019,4500,Rejected
69,2028-01-08,2028-01-10,1069,Honda,Civic,2017,5500,Approved
70,2028-02-15,2028-02-20,1070,Ford,Escape,2020,7000,Approved
71,2028-03-20,2028-03-25,1071,Subaru,Forester,2019,1500,Approved
72,2028-04-10,2028-04-15,1072,Toyota,Rav4,2017,9000,Rejected
73,2028-05-05,2028-05-10,1073,Honda,CR-V,2016,6500,Approved
74,2028-06-15,2028-06-20,1074,Hyundai,Elantra,2019,4000,Approved
75,2028-07-20,2028-07-25,1075,Toyota,Highlander,2017,5500,Rejected
76,2028-08-10,2028-08-15,1076,Honda,Pilot,2020,3500,Approved
77,2028-09-12,2028-09-15,1077,Chevrolet,Malibu,2018,3000,Rejected
78,2028-10-25,2028-10-30,1078,Subaru,Outback,2019,5000,Approved
79,2028-11-18,2028-11-20,1079,Ford,Fusion,2017,4000,Approved
80,2028-12-05,2028-12-10,1080,Toyota,Camry,2016,2500,Rejected
81,2029-01-08,2029-01-10,1081,Honda,Accord,2020,3500,Approved
82,2029-02-15,2029-02-20,1082,Hyundai,Sonata,2019,6000,Approved
83,2029-03-20,2029-03-25,1083,Chevrolet,Impala,2017,4500,Rejected
84,2029-04-10,2029-04-15,1084,Toyota,Camry,2018,5500,Approved
85,2029-05-12,2029-05-15,1085,Honda,Civic,2020,7000,Approved
86,2029-06-18,2029-06-20,1086,Ford,Escape,2017,1500,Approved
87,2029-07-25,2029-07-30,1087,Subaru,Forester,2019,9000,Rejected
88,2029-08-10,2029-08-15,1088,Toyota,Rav4,2018,6500,Approved
89,2029-09-10,2029-09-15,1089,Honda,CR-V,2016,4000,Approved
90,2029-10-18,2029-10-20,1090,Hyundai,Elantra,2020,5500,Rejected
91,2029-11-22,2029-11-25,1091,Toyota,Highlander,2017,3500,Approved
92,2029-12-10,2029-12-15,1092,Honda,Pilot,2018,3000,Rejected
93,2030-01-05,2030-01-10,1093,Chevrolet,Malibu,2020,5000,Approved
94,2030-02-15,2030-02-20,1094,Subaru,Outback,2019,4000,Approved
95,2030-03-25,2030-03-30,1095,Ford,Fusion,2017,2500,Rejected
96,2030-04-10,2030-04-15,1096,Toyota,Camry,2018,3500,Approved
97,2030-05-15,2030-05-20,1097,Honda,Accord,2016,6000,Approved
98,2030-06-22,2030-06-25,1098,Hyundai,Sonata,2019,4500,Rejected
99,2030-07-10,2030-07-15,1099,Chevrolet,Impala,2018,5500,Approved
100,2030-08-12,2030-08-15,1100,Toyota,Camry,2017,7000,Approved
